user_id,day,phase,age_group,verification_nudge,interaction_limit,persuasive_notifications_reduced,ai_unavailable,ai_prompts_per_day,micro_checks_per_day,screen_time_hours,continuous_use_minutes,breaks_taken,verification_complexity,verification_rate,reliance_type,accept_without_check,error_rate,decision_latency_seconds,decision_latency_with_ai_sec,decision_latency_without_ai_sec,confidence_without_ai,eye_dryness_score,neck_pain_score,headaches_per_week,ai_for_social_messages,mood_checkins,emotional_support_requests,serious_topics_with_ai,pii_shared,harmful_exposure_count,ai_reliance_baseline,planning_skill,online_intensity
1,1,AS-IS,15-17,0,0,0,0,42,113,8.78,129.6,0,2,0.5,appropriate,0,0.211,239.0,228.0,274.3,3.3,7.51,5.45,1,0,1,1,0,0,0,0.609,0.629,0.55
1,2,AS-IS,15-17,0,0,0,0,35,109,8.85,177.6,0,1,0.546,appropriate,0,0.11,205.9,186.3,268.9,3.21,7.85,6.75,4,0,2,0,0,0,0,0.609,0.629,0.55
1,3,AS-IS,15-17,0,0,0,0,37,112,8.16,91.8,1,1,0.57,appropriate,0,0.102,220.3,200.2,285.2,3.11,5.76,4.85,2,0,1,4,0,0,1,0.609,0.629,0.55
1,4,AS-IS,15-17,0,0,0,0,36,115,8.75,125.3,0,3,0.466,appropriate,0,0.293,222.7,197.0,305.4,3.35,6.64,5.67,2,0,0,1,1,0,1,0.609,0.629,0.55
1,5,AS-IS,15-17,0,0,0,0,36,95,7.74,156.4,0,2,0.748,appropriate,0,0.148,223.1,220.7,230.7,2.97,6.66,4.71,2,0,2,1,1,0,2,0.609,0.629,0.55
1,6,AS-IS,15-17,0,0,0,0,29,110,8.09,203.7,0,1,0.698,appropriate,0,0.072,205.1,190.3,253.0,3.21,7.37,6.18,3,0,1,0,1,1,1,0.609,0.629,0.55
1,7,AS-IS,15-17,0,0,0,0,32,97,8.32,176.1,0,2,0.51,appropriate,0,0.18,226.3,204.7,296.0,3.47,7.82,6.83,1,0,2,1,1,1,0,0.609,0.629,0.55
1,8,AS-IS,15-17,0,0,0,0,34,109,8.09,168.3,3,3,0.317,appropriate,0,0.3,234.7,208.1,320.4,3.55,6.71,4.74,4,1,1,0,0,0,0,0.609,0.629,0.55
1,9,AS-IS,15-17,0,0,0,1,7,23,3.77,62.2,2,1,0.588,appropriate,0,0.088,198.5,204.4,198.5,3.05,2.69,2.25,2,1,1,3,0,0,0,0.609,0.629,0.55
1,10,AS-IS,15-17,0,0,0,0,40,110,9.23,198.2,2,3,0.408,appropriate,0,0.3,237.1,234.0,247.1,3.38,8.08,6.63,3,1,0,0,0,0,0,0.609,0.629,0.55
1,11,AS-IS,15-17,0,0,0,0,30,95,8.4,159.8,0,1,0.739,appropriate,0,0.114,201.6,188.0,245.7,3.66,7.22,5.43,2,0,1,0,0,0,0,0.609,0.629,0.55
1,12,AS-IS,15-17,0,0,0,0,33,98,7.54,99.1,0,1,0.808,appropriate,0,0.143,192.3,168.3,269.9,3.83,5.63,4.88,2,0,2,1,1,1,0,0.609,0.629,0.55
1,13,AS-IS,15-17,0,0,0,0,39,113,8.43,187.5,0,3,0.416,appropriate,0,0.3,224.3,207.2,279.2,3.26,7.27,6.37,2,0,2,1,0,1,0,0.609,0.629,0.55
1,14,AS-IS,15-17,0,0,0,0,43,126,9.09,147.7,0,1,0.743,appropriate,0,0.048,200.4,192.3,226.2,3.77,6.91,6.74,2,0,2,1,1,0,0,0.609,0.629,0.55
1,15,AS-IS,15-17,0,0,0,0,47,136,10.0,171.3,0,2,0.474,appropriate,0,0.227,207.6,192.1,257.6,2.93,8.31,6.69,1,0,0,0,1,0,0,0.609,0.629,0.55
2,1,AS-IS,15-17,0,0,0,0,25,89,7.54,84.1,3,2,0.669,appropriate,0,0.241,209.7,199.8,239.0,3.55,4.5,3.8,1,1,0,0,0,0,0,0.559,0.644,0.7
2,2,AS-IS,15-17,0,0,0,0,29,116,8.96,162.1,0,3,0.359,appropriate,0,0.3,256.2,251.8,268.8,3.31,7.67,5.91,2,1,3,0,0,0,0,0.559,0.644,0.7
2,3,AS-IS,15-17,0,0,0,0,43,126,9.06,141.3,0,3,0.428,appropriate,0,0.264,222.7,213.4,249.9,3.08,7.75,6.33,2,0,5,0,0,0,0,0.559,0.644,0.7
2,4,AS-IS,15-17,0,0,0,0,37,119,9.74,208.0,1,1,0.72,appropriate,0,0.1,219.5,217.9,224.5,3.62,8.16,7.44,3,0,0,0,0,1,0,0.559,0.644,0.7
2,5,AS-IS,15-17,0,0,0,0,46,140,10.0,174.0,0,1,0.719,appropriate,0,0.124,209.6,203.4,227.7,3.28,8.79,7.13,3,0,0,1,1,1,0,0.559,0.644,0.7
2,6,AS-IS,15-17,0,0,0,0,35,130,10.0,189.1,0,2,0.664,appropriate,0,0.174,202.8,178.5,274.0,3.56,8.64,7.23,3,1,1,1,0,0,0,0.559,0.644,0.7
2,7,AS-IS,15-17,0,0,0,0,36,93,8.72,179.4,3,3,0.446,appropriate,0,0.3,276.1,266.9,303.1,2.85,7.29,6.2,1,1,0,2,0,0,0,0.559,0.644,0.7
2,8,AS-IS,15-17,0,0,0,0,45,126,10.0,192.6,0,3,0.528,appropriate,0,0.3,265.6,261.0,279.1,3.56,8.22,7.88,5,0,0,0,0,0,0,0.559,0.644,0.7
